x,y,z,u,v,dist,gsd,visible,change
733645.50,4051487.75,2527.53,1001,1576,970.3,0.255,1,gain
733646.50,4051487.75,2527.79,1003,1575,971.3,0.255,1,gain
733631.50,4051486.75,2524.60,984,1584,956.6,0.251,1,gain
733641.50,4051486.75,2526.49,999,1579,966.1,0.254,1,gain
733642.50,4051486.75,2526.71,1001,1579,967.1,0.254,1,gain
733643.50,4051486.75,2526.99,1002,1578,968.0,0.254,1,gain
733644.50,4051486.75,2527.21,1004,1577,969.0,0.255,1,gain
733645.50,4051486.75,2527.53,1005,1576,970.0,0.255,1,gain
733607.50,4051485.75,2515.81,951,1616,933.1,0.245,1,gain
733627.50,4051485.75,2523.58,982,1588,952.4,0.250,1,gain
733750.50,4051484.75,2551.88,1154,1514,1070.8,0.281,1,gain
733751.50,4051484.75,2552.04,1155,1514,1071.8,0.282,1,gain
733284.50,4051483.75,2381.62,125,2436,640.3,0.168,1,gain
733450.50,4051483.75,2449.96,652,1919,784.6,0.206,1,gain
733746.50,4051483.75,2549.34,1153,1522,1066.5,0.280,1,gain
733747.50,4051483.75,2550.14,1155,1520,1067.5,0.281,1,gain
733748.50,4051483.75,2550.59,1156,1518,1068.5,0.281,1,gain
733749.50,4051483.75,2551.34,1157,1516,1069.5,0.281,1,gain
733751.50,4051483.75,2552.04,1159,1514,1071.5,0.282,1,gain
733272.50,4051482.75,2378.05,80,2477,629.9,0.166,1,gain
733273.50,4051482.75,2378.18,84,2475,630.8,0.166,1,gain
733746.50,4051482.75,2549.34,1157,1522,1066.2,0.280,1,gain
733747.50,4051482.75,2550.14,1158,1520,1067.2,0.280,1,gain
733748.50,4051482.75,2550.59,1160,1518,1068.2,0.281,1,gain
733749.50,4051482.75,2551.34,1161,1516,1069.2,0.281,1,gain
733289.50,4051481.75,2382.04,161,2426,643.6,0.169,1,gain
733456.50,4051481.75,2453.59,678,1899,789.3,0.207,1,gain
733457.50,4051481.75,2454.28,680,1895,790.2,0.208,1,gain
733288.50,4051480.75,2382.44,165,2424,642.2,0.169,1,gain
733455.50,4051480.75,2452.90,681,1903,788.0,0.207,1,gain
733286.50,4051479.75,2382.51,164,2425,640.0,0.168,1,gain
733458.50,4051479.75,2454.63,693,1893,790.3,0.208,1,gain
733459.50,4051479.75,2455.29,696,1889,791.2,0.208,1,gain
733461.50,4051479.75,2456.41,700,1883,793.1,0.208,1,gain
733429.50,4051478.75,2447.28,629,1936,763.4,0.201,1,gain
733457.50,4051478.75,2454.19,697,1895,789.0,0.207,1,gain
733458.50,4051478.75,2454.77,699,1892,789.9,0.208,0,gain
733459.50,4051478.75,2455.33,701,1889,790.8,0.208,1,gain
733460.50,4051478.75,2455.92,703,1886,791.8,0.208,1,gain
733461.50,4051478.75,2455.92,706,1886,792.7,0.208,1,gain
733482.50,4051478.75,2468.01,752,1822,812.1,0.213,1,gain
733429.50,4051477.75,2447.28,635,1936,763.0,0.200,1,gain
733460.50,4051477.75,2455.73,709,1887,791.4,0.208,1,gain
733794.50,4051477.75,2567.55,1230,1472,1112.3,0.292,1,gain
733426.50,4051476.75,2446.53,633,1940,759.8,0.200,1,gain
733428.50,4051476.75,2447.01,638,1937,761.6,0.200,1,gain
733425.50,4051475.75,2447.19,636,1937,758.5,0.199,1,gain
733430.50,4051475.75,2448.76,648,1927,763.1,0.201,1,gain
733469.50,4051475.75,2460.89,740,1859,798.9,0.210,1,gain
733475.50,4051475.75,2463.93,753,1843,804.5,0.211,1,gain
733503.50,4051475.75,2477.00,812,1778,830.7,0.218,1,gain
733424.50,4051474.75,2447.58,639,1934,757.2,0.199,1,gain
733480.50,4051474.75,2465.91,769,1833,808.8,0.213,1,gain
733482.50,4051474.75,2467.44,773,1825,810.6,0.213,1,gain
733490.50,4051474.75,2471.38,790,1805,818.1,0.215,1,gain
733502.50,4051474.75,2477.32,815,1776,829.4,0.218,1,gain
733501.50,4051473.75,2477.09,818,1777,828.1,0.218,1,gain
733502.50,4051473.75,2477.48,820,1775,829.0,0.218,1,gain
733259.50,4051472.75,2376.38,101,2503,614.0,0.161,1,gain
733498.50,4051472.75,2475.23,817,1786,824.9,0.217,1,gain
733499.50,4051472.75,2475.94,819,1783,825.8,0.217,1,gain
733501.50,4051472.75,2477.00,823,1777,827.7,0.217,1,gain
733503.50,4051471.75,2477.93,832,1773,829.2,0.218,1,gain
