"variant","predictor","x","yhat"
"primary","snow_mean",175.186664835612,0.239103021596593
"primary","snow_mean",177.399993896484,0.235437396807562
"primary","snow_mean",179.713331095378,0.224482717248298
"primary","snow_mean",181.899993896484,0.21615441436914
"primary","snow_mean",183.899993896484,0.212061298633665
"primary","snow_mean",186,0.180172250987471
"primary","snow_mean",187.899993896484,0.162830359076822
"primary","snow_mean",189.729998779297,0.147361337577006
"primary","snow_mean",191.5,0.126607040180919
"primary","snow_mean",193.399993896484,0.112494975844625
"primary","snow_mean",195.699996948242,0.0937126070244262
"primary","snow_mean",197.800003051758,0.0896474594975036
"primary","snow_mean",200.600006103516,0.0861514908791422
"primary","snow_mean",203.909994506836,0.0836887509133804
"primary","snow_mean",207.300003051758,0.0841006969684574
"primary","snow_mean",214.736665852865,0.0851373879268647
"primary","snow_mean",230.899993896484,0.0881685011337792
"primary","elevation",2361.47583007812,0.115318004536311
"primary","elevation",2391.05749511719,0.241845778049333
"primary","elevation",2408.93133138021,0.248054145296072
"primary","elevation",2420.69853515625,0.261567595706358
"primary","elevation",2434.79244791667,0.265637221391691
"primary","elevation",2442.98034667969,0.260926285573434
"primary","elevation",2451.0458984375,0.257713648523772
"primary","elevation",2460.90432128906,0.254015433438054
"primary","elevation",2474.00107421875,0.240136660995263
"primary","elevation",2489.18820800781,0.211025619007306
"primary","elevation",2505.82120768229,0.207056040181836
"primary","elevation",2519.60244140625,0.183957493811566
"primary","elevation",2531.98720703125,0.118864926297051
"primary","elevation",2550.77530110677,0.0952047172849599
"primary","elevation",2568.23064778646,0.07930827192985
"primary","elevation",2585.45751953125,0.0757697216059329
"primary","elevation",2601.673828125,0.074601873309343
"primary","elevation",2619.91550292969,0.0739644645159052
"primary","elevation",2639.27001953125,0.0735074447046456
"primary","elevation",2658.30598958333,0.07280238492794
"primary","elevation",2679.49202473958,0.0724361711411529
"primary","elevation",2702.57570800781,0.0723057891273986
"primary","elevation",2727.04682617188,0.0721518581545675
"primary","elevation",2756.4443359375,0.0720752789250547
"primary","elevation",2783.11655273438,0.0720302497131352
"primary","elevation",2804.81827799479,0.0720049839313842
"primary","elevation",2829.59420572917,0.071984731845642
"primary","elevation",2863.49091796875,0.0719669308958412
"primary","elevation",2903.82347005208,0.0719548521660916
"primary","elevation",2948.41477864583,0.0719478409233058
"primary","elevation",3004.20263671875,0.0719437175535513
