"dist12","p9_k3","p9_k5","p9_k10","p9_logdist","slope","elevation","TPI","twi","northness","eastness","snow_mean"
90,0.0843987358789696,0.000470734224347383,0.000127676606544071,0.000639818955159367,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
95,0.0640863710549259,0.000374149942012045,0.000146778024448441,0.000584264608486016,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
100,0.0484992529582243,0.000301970281245303,0.000174185093378901,0.000536018700994255,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
105,0.0366342680176116,0.000247653701403607,0.00021192472114455,0.000494135028246486,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
110,0.0276530257306351,0.000206521299437884,0.000262373274947342,0.000457766323839684,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
115,0.0208794405823864,0.000175211670686967,0.000327936488910228,0.00042616789814228,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
120,0.0157817207725783,0.000151299482647666,0.000410462118344814,0.000398693274407497,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
125,0.0119488254606327,0.000133028178422082,0.000510349829056514,0.00037478583492521,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
130,0.0090669249363816,0.000119122315555367,0.000625448171832317,0.000353968887760086,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
135,0.00689844844749188,0.000108655587179337,0.000750026771297582,0.000335835536967497,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
140,0.00526459667594243,0.000100957909517311,0.000874312337183135,0.000320039097985792,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
145,0.00403131330781478,9.55500562400023e-05,0.000985132667371111,0.000306284411096916,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
150,0.00309831912706819,9.20978558225722e-05,0.00106796651972777,0.000294320178051835,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
155,0.00239068832783055,9.03804204795893e-05,0.00111012500309365,0.000283932319586433,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
160,0.00185245444904546,9.02685762667393e-05,0.00110411977647143,0.000274938285292281,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
165,0.00144179644254854,9.17108428606049e-05,0.00104992385214649,0.000267182217924832,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
170,0.00112743441129726,9.4725123739882e-05,0.000955130014152799,0.000260530865113352,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
175,0.000885940860461575,9.93948169622273e-05,0.000832890508916478,0.000254870134424826,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
180,0.000699739423143,0.000105868410619728,0.000698489887889381,0.000250102195970985,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
