blind_id,sample_id,stratum,cls2012,cls2021,x,y,z,row,col,u,v,annotated_figure,native_crop
B030,loss_to_rowan_02,loss_to_rowan,1,4,733328.5,4051321.75,2428.75,747,584,1406.8345295920656,2073.235792708515,crops/loss_to_rowan_02.png,crops_native/loss_to_rowan_02_native.png
B031,control_stable_sasa_18,control_stable_sasa,1,1,733470.5,4051242.75,2492.030029296875,826,726,2003.305295595786,1697.6439135052478,crops/control_stable_sasa_18.png,crops_native/control_stable_sasa_18_native.png
B032,gain_dwarfpine_to_sasa_02,gain_dwarfpine_to_sasa,7,1,733359.5,4051159.75,2431.840087890625,909,615,2458.7691297662427,2036.0473614182636,crops/gain_dwarfpine_to_sasa_02.png,crops_native/gain_dwarfpine_to_sasa_02_native.png
B033,loss_to_dwarfpine_26,loss_to_dwarfpine,1,7,733292.5,4051364.75,2410.719970703125,704,548,1043.8842562892062,2215.528270657444,crops/loss_to_dwarfpine_26.png,crops_native/loss_to_dwarfpine_26_native.png
B034,control_stable_dwarfpine_06,control_stable_dwarfpine,7,7,733507.5,4051363.75,2495.169921875,705,763,1407.3890353991446,1690.7554322412184,crops/control_stable_dwarfpine_06.png,crops_native/control_stable_dwarfpine_06_native.png
B035,loss_to_dwarfpine_02,loss_to_dwarfpine,1,7,733240.5,4051220.75,2388.840087890625,848,496,2028.328437478761,2406.946604630993,crops/loss_to_dwarfpine_02.png,crops_native/loss_to_dwarfpine_02_native.png
B036,loss_to_alder_03,loss_to_alder,1,6,733460.5,4050944.75,2524.93994140625,1124,716,3528.5445157735144,1531.829804259052,crops/loss_to_alder_03.png,crops_native/loss_to_alder_03_native.png
B037,loss_to_otherveg_14,loss_to_otherveg,1,2,733551.5,4051307.75,2523.360107421875,761,807,1725.9472733264915,1565.8856770888872,crops/loss_to_otherveg_14.png,crops_native/loss_to_otherveg_14_native.png
B038,control_stable_dwarfpine_07,control_stable_dwarfpine,7,7,733364.5,4050903.75,2491.219970703125,1165,620,3923.695406217662,1679.9700875986086,crops/control_stable_dwarfpine_07.png,crops_native/control_stable_dwarfpine_07_native.png
B039,loss_to_dwarfpine_34,loss_to_dwarfpine,1,7,733423.5,4051473.75,2447.6298828125,595,679,659.0889764988599,1942.6649661523284,crops/loss_to_dwarfpine_34.png,crops_native/loss_to_dwarfpine_34_native.png
